age,income,spending_score,visits,online_ratio
45,99999,81,8,0.6
48,101335,24,2,0.26
49,106083,36,2,0.27
32,26200,38,17,0.85
55,81279,44,4,0.13
46,121450,77,9,0.74
32,31011,77,16,0.93
42,67841,27,1,0.24
31,104832,78,10,0.39
34,101023,39,5,0.43
57,89756,38,3,0.3
52,57453,36,2,0.43
41,46897,52,7,0.47
34,33913,63,8,0.77
56,104115,67,2,0.94
52,90258,81,7,0.88
54,104391,71,10,0.43
37,115386,85,4,0.84
36,55014,40,5,0.31
31,45194,59,4,0.44
45,88017,45,4,0.5
65,93314,34,2,0.19
48,75189,52,1,0.36
51,106928,31,4,0.29
49,114962,71,8,0.53
36,43721,68,0,0.51
42,64953,58,6,0.42
28,29275,97,10,0.77
69,92584,32,7,0.4
20,31523,80,4,0.78
35,62625,41,4,0.56
42,40128,58,0,0.48
18,34104,59,9,0.82
59,91684,15,4,0.32
21,35910,67,15,0.91
27,34922,69,12,0.82
34,130244,73,14,0.68
45,57206,38,2,0.49
18,25712,68,8,0.75
31,69867,64,3,0.64
49,90433,21,6,0.44
20,44705,84,18,0.63
52,75590,54,0,0.18
18,27205,63,12,0.77
