temp,pressure,vibration,is_anomaly
71.8,29.3,0.674,0
91.6,44.4,1.021,1
67.9,31.7,0.678,0
57.6,31.0,0.438,0
101.6,43.6,1.199,1
70.1,34.0,0.57,0
74.8,27.3,0.586,0
60.3,32.1,0.428,0
75.6,29.0,0.229,0
86.2,43.1,1.148,1
72.5,25.4,0.667,0
66.7,28.6,0.537,0
85.9,48.5,1.196,1
63.2,34.6,0.643,0
74.6,29.5,0.415,0
74.6,30.4,0.542,0
73.9,29.6,0.519,0
74.2,30.7,0.449,0
69.2,25.8,0.537,0
76.7,30.3,0.541,0
69.5,28.9,0.445,0
63.8,32.9,0.537,0
74.8,28.6,0.646,0
76.2,33.7,0.468,0
69.2,32.4,0.36,0
72.2,29.4,0.497,0
67.0,32.4,0.435,0
94.3,47.2,1.333,1
67.8,30.4,0.613,0
64.2,30.1,0.646,0
70.3,30.4,0.496,0
77.3,29.1,0.466,0
65.5,30.5,0.306,0
86.2,44.0,0.773,1
70.7,21.9,0.387,0
70.6,28.2,0.535,0
69.1,30.3,0.524,0
68.1,31.3,0.572,0
69.8,31.0,0.418,0
68.6,29.1,0.547,0
68.2,29.2,0.53,0
65.3,27.5,0.506,0
76.5,25.9,0.495,0
74.3,25.8,0.479,0
68.3,29.3,0.489,0
70.0,26.4,0.527,0
67.4,33.5,0.41,0
74.9,37.5,0.408,0
91.4,37.8,0.975,1
75.6,22.0,0.609,0
69.1,33.5,0.412,0
69.5,26.5,0.503,0
73.7,32.9,0.546,0
65.9,30.7,0.48,0
70.4,27.0,0.461,0
77.0,26.3,0.324,0
70.7,27.3,0.295,0
68.2,29.2,0.343,0
67.8,27.7,0.476,0
83.9,31.7,0.607,0
71.5,26.0,0.72,0
74.8,28.0,0.633,0
68.3,31.6,0.477,0
70.9,26.2,0.68,0
85.7,42.0,0.568,1
71.8,29.7,0.581,0
69.1,29.2,0.561,0
71.5,29.2,0.528,0
68.7,30.0,0.668,0
68.0,25.5,0.424,0
69.7,31.2,0.539,0
67.0,28.3,0.494,0
68.2,22.1,0.596,0
74.8,29.8,0.435,0
74.5,32.1,0.794,0
62.9,29.4,0.552,0
